id,situationtext
20,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Both participants were told the rules, and one participant completed more of the puzzles than the other. While I personally don't think that the payment system is fair, both participants agreed to it."
21,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  My decision was mainly motivated by the principle of equity and fairness. the diistribution makes each participant's reward close to fair or equal.
22,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  There was a winner and a loser of the competition.  It was all or nothing.  I didn't redistribute because not everyone in a competition deserves a trophy when there is clearly a winner and a loser.
23,"Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Since there was only one issue separating the two participants' performances, I decided to give Participant X $0.55 more. It appears reasonable to acknowledge Participant X's tremendous effort even though Participant Y should receive a reward for performing marginally better. This division recognizes nearly equal contributions while preserving an incentive for improved performance."
24,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I chose to distribute the amount almost equally because we all deserve it
25,"Y strongly outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I decided not to redistribute because both participants agreed to the rules beforehand, and participant Y fairly earned the payment by solving more problems. Changing this after the fact would be unfair and undermine the purpose of rewarding effort and performance.  I decided not to redistribute because both participants agreed to the rules beforehand, and participant Y fairly earned the payment by solving more problems. Changing this after the fact would be unfair and undermine the purpose of rewarding effort and performance."
26,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Y had a better performance but X is given that to appreciate the effort
27,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I think the money should be spilt evenly between the participants for their work in the survey.
28,Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I feel person Y needs the money more than person X
29,"Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I redistributed half because participant Y performed better and deserves a larger reward, but participant X also put in effort and should receive some compensation. This balances fairness with rewarding performance."
30,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I chose to redistribute $0.60 from participant Y to participant X to strike a balance between fairness and merit-based reward.    While participant Y clearly outperformed participant X and deserves the larger share, I believe that participant X still made a meaningful effort by solving 10 problems. Giving them a portion of the earnings helps reduce the harshness of a zero-reward outcome, which may feel discouraging or demotivating despite their effort. At the same time, participant Y retains the majority of their earnings, preserving the incentive for high performance."
31,Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It was to motivate the participant
32,Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Both participants did a great job. though Y did better but also X shows some character of doing a great job in the task.
33,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to redistribute $0.40 to Participant X as a small gesture of support while still honoring the original rules and effort-based incentive. Participant Y clearly outperformed X and deserves the majority of the reward, but giving a modest amount to X acknowledges their participation and recognizes that success can depend on many factors."
34,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  i like sharing so i just decided to share a small amount
35,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I ensured fairness. Y followed the set rules and earned the reward
36,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I chose to redistribute a portion of Ys earnings to X because while Y performed better, I believe X should still receive some compensation for participating and putting in effort. This small redistribution supports fairness and encouragement without disregarding performance-based rewards."
37,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y earned their full payment by outperforming Participant X clearly and fairly.
38,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The main reason that motivated my decision is the redistribution rule.
39,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  This is because t participant y made more effort than participant X
40,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  always follow the rules when making decsion
41,Y barely outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y scored more correct answer as compared to participant X
42,"Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The rules of how the money would be distributed were clearly stated and I'm assuming that Participant X was aware of this, so it's not fair to penalize Participant Y and take away from their earnings when they did nothing wrong."
43,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  This is because participant Y clearly outperformed X placing well above average while participant X is really significantly below average. For the incentive structure was made clear to both participants before beginning so did both have an equal opportunity. I value fairness and responsibility.
44,"Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  The scores were close, so I think X deserved something at least."
45,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I did not redistribute the earnings since Participant Y did not break the rules and took the award coming up with more correct answers. Neither of the participants argued with the terms as they were aware that the highest-performing player is going to receive a payment. It would be wrong to adjust the payout later and may demotivate to perform well in subsequent tasks. One should keep the promise and pay off success.
46,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Participant Y earned more and deserves the larger reward  but participant X still put in effort and earning nothing can feel discouraging
47,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I opted not to share any of the earnings of Participant Y as both the participants had agreed to the rules in advance of which it was made clear that only the participant who got more right answers would be paid money. Participant Y deserved the reward because he/she performed better. Retrospective adjustment of the allocation would destabilize the compensation system and the merit system of rewards.
48,"Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I decided not to redistribute any earnings because the payment was based on the number of problems solved, and participant X did not meet the threshold. This ensures fairness by adhering to the initial terms of the task."
49,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  the main reason that motivated my decision was due to the rule that was given or set. Participant Y solve more problems than Participant X hence earned more money compared to Participant X
50,"Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I chose to redistribute $0.30 (20%) to Participant X to acknowledge their effort while still rewarding Participant Ys better performance, striking a balance between fairness and merit. This ensures Y retains most of their earnings but X receives some compensation for their work, softening the harshness of the all-or-nothing payoff structure."
51,Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  At least some fairness.
52,Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It's only fair to give participant X. a little amount.  Participant Y still has a larger share than X.
53,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Y had a greater performance with the same set of rules. Performance based compensation will ensure that the compensation is fair and also upholds to the initial agreement agreed to.
54,"Y barely outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I think Participant X also did quite well in resolving the puzzle with 16 questions correctly answered. Therefore, it is only fair that they get something."
55,Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Both X and Y participated in the task. The correct answers were close enough to believe that both attempted the task with equal effort. This is the basis for my decision.
56,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Both participants agreed to the rules beforehand, which specified that only the higher or equally performing participant would earn money. It would be unfair to change that after the fact."
57,Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  He/she should not benefit from other's hard work
58,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I found it fair enough to acknowledge the effort of the other partcipant not to let them walk empty handed yet they put so much effort and atleast managed to solve quiet a number of the problems. Deciding to give this partcipant  $1.05 was like a token of apprecition.
59,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  what motivated me is the clearly stated structure of distributing the merits thus redistributing to x would undermine the efforts of y
60,Y slightly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Because he made effort to get some questions correct.
61,Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I believe that is the fair choice
62,Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Participant X also made some decisions that deserve some reward.
64,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  because they all participated,and they all need to be compensated"
65,Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I understand participants Y real do a great work by solving 20 questions but X also solve 13 questions. They may encounter different scenerio while solving the problem. The best to ensure equality because what happen to X today might happen to Y tommorow.
66,"Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  My primary justification behind the choice of allocating 0.00 of the earnings of participant Y to participant X is that the conditions of the task were unambiguous and reasonable at the beginning. The participants both accepted a game in which earnings were a relative measure: only a problem solver is paid, and only so long as equal or more problems are solved than the paired partner. participant Y solved more problems (19 vs. 17) than participant X, hence, received the award. Distribution of the earnings of Y will ruin the initial agreement on what is supposed to work on the task, and will undermine the rationality and honesty of the incentive system. It would be also an injustice to punish the person who obeyed the regulations and won. When incentive systems are used, they are most effective when they provide an incentive to the effort and performance done in agreement. Manipulating the results post fabrication will undermine the trust in such systems in coming research."
67,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to give 0.5 of Ys earnings to X because the chart showed that X performed reasonably well and deserved some compensation for their effort. While Y still performed better overall, I felt a partial redistribution was fair to acknowledge Xs contribution without fully taking away the reward Y earned through higher performance."
68,Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  It seems to me that some compensation should be awarded to all participants for their time and effort.
69,Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to balance them out and make sure X got something as well
70,"Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  To be fair, participant Y performed more problems and followed the rules, so they have to be given the full amount."
71,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  because i think this is a fair amount to divide up because they did not have anything at all and the other one had all the rewards
72,Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I reallocated some of the earnings of the participant Y as an appreciation of the effort put in by the participant X even though he solved fewer problems. This makes it fair yet the performance-voice incentive system is still in place as Participant Y continues getting higher reward in case his performance is higher.
73,Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Both participants solved nearly the same amount
74,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to be fair in my decision, although participant Y solved more problems than X  but participants X also put in effort and tried his best. I decided to reward each participant based on their performance"
75,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Person Y got more correct answers than person X
76,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules were known ahead of time and with the limited information I have it seems like one participant put in more work than the other.
77,Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  I think they should share equally in the final results.
78,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Both participants participated so he both should get a bonus.
79,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I was motivated by the fact that both people tried and should therefore get something. Person Y should get a little bet higher amount because he/she was the winner. Therefore $1.55 for Y and $1 for X is good.
80,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Because that was the rule of the game. The participant did not answer 13 correctly so they did not gain anything
81,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules said they had to answer at least as many as the other person.
82,Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I decided to avoid redistribution since participant Y received his or her compensation honestly according to the agreed on valid rules and therefore to alter the same would be unjust.
84,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I was motivated by a sense of fairness
88,Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  to ensure fairness
89,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The decision to give Participant X $1 was motivated by a sense of fairness and compassion. Despite Participant X solving fewer problems, providing some payment acknowledges their effort and participation."
90,"Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  My decision to redistribute $0.50 (22%) from Y to X balances three key principles: merit, fairness, and practicality. While Y objectively performed better (15 correct answers vs. Xs 13) and deserves the majority of earnings, X still contributed meaningful effort (solving 54% of the problems) and should not walk away empty-handed. A small redistribution acknowledges Xs work without undermining Ys achievement, preserving motivation for future tasks. This mirrors real-world systems like performance bonuseswhere top performers are rewarded, but collective effort is still recognized. The $0.50 transfer ensures Y retains most of their earnings ($1.75) while giving X a fair token of participation, fostering both equity and incentive. No extreme outcome  aligns as well with ethical decision-making in competitive yet collaborative environments."
91,Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Person X redistributed after solving the problems
92,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I think had it been counted the other way they would have received some compensation.  .50 won't kill anyone and it'll make the first participant feel better.
93,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Ifelt sorry for partiapant X because of no monet
94,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The main reason behind my decision is because both of them worked hard on it and the scores should not be the main judge of the compensation.
96,"Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Even though Participant X solved less problems, it would only be fair that they not walk away with nothing for their hard work.  Paticipant Y on the other hand did do the most work, and deserves the lion's share of the prize.  So I decided to divide it between them, in the order I did."
97,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Particiapant x deserves to be paid also.
98,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  If the money was earned by one participant it should not be shared by the other participant. They didn't earn the money so why should they be given any of it?
99,"Y slightly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I didn't want to evenly distribute, but I wanted to give some."
100,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  What motivated my decision is that participant Y followed the rules and earned their payment fair and square. It doesn't feel right to give participant X any money since they solved fewer problems.
101,Y strongly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I think they all put effort towards completing the task
102,"Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  since participant X solved one question less of participant Y, he should be rewarded for his effort even if its a less reward to Y"
103,"Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  X solved 4 more problems than Y.  The value of these was 60 cents.  I awarded the other person half of the difference.  I felt they deserved something since they did invest time and do the work, and I thought half of that value was reasonable (30 cents)."
104,"Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  All participants should be paid according to the number of problem they solve, as long they participate"
105,"Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I didnt give any of Ys earnings to X because the rules were clear  you only earn if you do as well or better than your partner. Y solved more problems, so it feels fair they keep what they earned. Changing that after the fact just wouldnt sit right with me."
106,Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The participants were told what would happen at the beginning. X knew that if he scored less than his counterpart he would receive nothing. Y knew this as well so it is unfair for him to have his reward diminished if he worked hard for it.
107,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Rule fairness  Both participants agreed to a clear incentive structure: only the higher or equal performer earns money. Changing the outcome afterward would violate that agreement.    Performance-based reward  Participant Y earned more by solving more problems. Rewarding performance encourages effort and fairness.    Transparency and consistency  Upholding the original rules maintains trust in the system and ensures all participants are treated equally based on the same criteria.
108,Y slightly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Im selfish and don't like to share.
109,Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I just didn't want participant X to get nothing.
110,"Y strongly outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I did not distribute the earnings since I thought that it could go against the agreement that the participants entered into, whch determined payment based on the performance."
111,Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Because person x also participated in the game should be given something for appreciation
112,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  There was only a difference of 2 in what was solved.
113,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Because the participant solves fewer problems than the other participant
114,"Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Someone answering 11 questions and someone answering 13 questions, the difference is two questions only, therefore I feel person X geting zero shares of the money is completely unfair. There should be a slight difference in the distribution of the money."
115,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Both participants were informed of the stakes of the task they were faced with to do. One person only 33.3% of the problems, whereas the other solved 83.3% of the problems and should be penalized for such a paltry sum of money by having some taken away from them."
116,"Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Since the other participant solved less problems, the participant who solved more problems shouldn't be penalized for that."
117,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Whereas participant Y scored better than X, X also put some effort. Winner takes all home is not fair to the loosing side especially if they had put in a lot of effort."
118,Y barely outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I chose to redistribute $0.50 to recognize Participant Xs effort while still rewarding Participant Y for performing better. This approach balances fairness and merit without fully undermining the performance-based rules.
120,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to redistribute $0.75 (one-third of Ys earnings) to X because their performances were close (13 vs. 15 puzzles), suggesting the gap could reflect minor variability rather than a significant difference in ability or effort. This partial redistribution acknowledges X"
121,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I thought that X should receive something, as they solved almost as many as Y. Y should receive more, since they solved more and came in first place."
122,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I know what it feels like when one person gets everything and you're left with nothing.
123,"Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  It clearly stated in the rules that if he/she solved less problems than the other person, they would get nothing. So it would be unfair to Y to redistribute some of his earnings."
124,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I decided to give participant X 0.0 because the payment structure was clearly defined at the beginning of the decision-making.
125,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  to ensure every participant is awarded
126,"Y slightly outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  While Y scored higher ,The outcome was as result of motivation from x and want to recognize the the contribution of both parties"
127,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Because it would be unfair for participant X not to earn anything while he still did some tasks
128,Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I read the instructions provided to the participants. The one participant didn't work as hard as the other so they didn't earn the bonus.
129,Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The outcome respects the fairness of the original agreement and rewards performance as defined by the rules.
130,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Participant Y solved more problems (16 vs. 10) and thus met the criteria for earning payment, while Participant X did not. The rules of the task clearly stated that payment depends on solving at least as many problems as the other participant, which X did not achieve. Redistributing Ys earnings to X would undermine the incentive structure designed to reward effort and performance. Therefore, I chose not to redistribute any amount to maintain fairness based on the pre-established rules."
131,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  i would love to share
132,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  The participant solved 17 questions and deserved a share of the pot on account of their hard work.
133,"Y strongly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I rewarded effort while honoring performance by giving X a small share. Y earned more, but fairness includes recognizing participation and minimizing extreme inequality."
134,Y barely outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  It would make it so the earnings will get distributed evenly
135,Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I think participant X tried and solved 4 problem hence he/she deserves a little bonus for solving the problem because they tried.
136,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I wanted to be fair.
137,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  it was the effort of y to earn his money
138,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I think it's fair to split the money evenly, simply because both participants did the problems and both got a good amount right. The one who got 0.0 money should get a least a LITTLE compensation for that"
139,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I feel like they both deserve some sort of bonus and they were told that their bonuses may be changed. So it seems fair.
140,"Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  I chose to give $1.70 to participant X because I believe effort should be recognized, even if the person did not perform best. This redistribution reduces an extreme payoff gap while still giving participant Y a small reward for outperforming."
141,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The rules given to the participants is that they had to solve as many puzzles as the other player if they wanted to get paid. One player achieved barely half the other one, and both players had the same participation conditions, so I don't see why I should punish the player who put an effort and completed 15 puzzles with redistributing his earnings."
142,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The participant who earned the bonus should be able to keep 100% of it, and i have no desire to redistribute it"
143,Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Y deserves because he has worked harder than X; the benefits of this should not be taken away by those who did not deserve it because they are rewards of merit and our rules that have been agreed upon.
144,"Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt that both participants did quite well on the task, so the earnings should be distributed amongst them, but participant Y should keep more than half since they performed better."
146,Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Participant X solved 15 problems.  To be fair to participant X.
147,"Y slightly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I chose to redistribute $0.00 from participant Y to participant X.    The main reason is that both participants agreed in advance to a clear, rule-based incentive system: rewards would go to the individual who solved as many or more problems than their counterpart. Participant Y performed better and earned fairly under those rules, while Participant X did not meet the performance threshold.    Redistributing earnings after the fact would undermine the integrity of the rules and the motivation system that was set up to encourage effort and performance. While empathy for X is understandable, fairness in this context means respecting the structure that all participants consented to at the start.    Therefore, no redistribution is warranted."
148,"Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  based on the rules, person Y should get all of the money for solving significantly more problems than person X.  Person Y should not be penalized just to make things appear more 'fair' toward person X."
149,"Y moderately outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  To manage and motivate distribution partners, focus on aligning their goals with yours by offering clear incentives and ongoing support. Regular check-ins and open communication build trust and keep everyone on track. Offering training and exclusive resources can also help them succeed and stay motivated."
151,"Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  It is fair not to distribute anything because the rules were clear, and earnings were to be based on relative performance, and you solved for more than 15 times times X 10"
152,Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt that participant X did a good job and deserved something for their efforts.
154,Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  What motivated my decision was fairness
155,Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  This is because also participant x made an attempt of 2 so she/he must be atleast be compensated
156,"Y moderately outperformed X. The DM gave a Moderate share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I would issue $1 to enable the participant to get payment for the 12 questions answered, which is fair as it is lower than the other participant who answered more questions."
